file_name,emiten_code,year,status,error_message,total_pages,text_pages,image_pages,ocr_pages,direct_extract_pages,total_extracted_chars,ocr_input_tokens,ocr_output_tokens,ocr_estimated_cost_usd,processing_time_seconds,timestamp_processed
AALI_2024.pdf,AALI,2024,success,,2,2,0,0,2,496,0,0,0.0,0.99,2026-03-14T17:57:01.964437
ABBA_2022.pdf,ABBA,2022,success,,2,2,0,0,2,8479,0,0,0.0,0.06,2026-03-14T17:57:02.022694
ABBA_2023.pdf,ABBA,2023,success,,1,0,1,1,0,4600,1129,1004,0.00178825,5.74,2026-03-14T17:57:07.764013
AALI_2023.pdf,AALI,2023,success,,2,0,2,2,0,8587,2258,1914,0.0034355,12.11,2026-03-14T17:57:13.084119
ABDA_2022.pdf,ABDA,2022,success,,2,2,0,0,2,8704,0,0,0.0,0.07,2026-03-14T17:57:13.162366
ABDA_2023.pdf,ABDA,2023,success,,3,3,0,0,3,10226,0,0,0.0,0.04,2026-03-14T17:57:13.198328
ABDA_2024.pdf,ABDA,2024,success,,3,3,0,0,3,10070,0,0,0.0,0.06,2026-03-14T17:57:13.255854
ABMM_2022.pdf,ABMM,2022,success,,1,1,0,0,1,4169,0,0,0.0,0.04,2026-03-14T17:57:13.292010
AALI_2022.pdf,AALI,2022,success,,2,0,2,2,0,8201,2258,1745,0.003182,12.6,2026-03-14T17:57:13.574974
ABMM_2024.pdf,ABMM,2024,success,,2,2,0,0,2,5456,0,0,0.0,0.02,2026-03-14T17:57:13.594497
ABBA_2024.pdf,ABBA,2024,success,,1,0,1,1,0,5048,1129,1004,0.00178825,6.68,2026-03-14T17:57:14.440505
ACES_2022.pdf,ACES,2022,success,,1,0,1,1,0,4048,1129,862,0.00157525,4.38,2026-03-14T17:57:17.978728
ACES_2023.pdf,ACES,2023,success,,1,0,1,1,0,4091,1129,903,0.00163675,6.44,2026-03-14T17:57:20.878140
AADI_2024.pdf,AADI,2024,success,,4,0,4,4,0,15836,4516,3328,0.006121,22.89,2026-03-14T17:57:23.864905
ACES_2024.pdf,ACES,2024,success,,1,0,1,1,0,4151,1129,926,0.00167125,6.55,2026-03-14T17:57:24.530786
ABMM_2023.pdf,ABMM,2023,success,,2,0,2,2,0,6728,2258,1505,0.002822,11.81,2026-03-14T17:57:25.099271
ACRO_2023.pdf,ACRO,2023,success,,3,0,3,3,0,11773,3387,2683,0.00487125,16.15,2026-03-14T17:57:37.026015
ACRO_2024.pdf,ACRO,2024,success,,2,0,2,2,0,8844,2258,2197,0.00386,16.09,2026-03-14T17:57:39.956827
ADES_2022.pdf,ADES,2022,success,,1,1,0,0,1,5440,0,0,0.0,0.03,2026-03-14T17:57:39.983351
ADES_2023.pdf,ADES,2023,success,,1,1,0,0,1,5446,0,0,0.0,0.02,2026-03-14T17:57:40.004604
ADES_2024.pdf,ADES,2024,success,,1,1,0,0,1,5191,0,0,0.0,0.02,2026-03-14T17:57:40.027725
ADCP_2023.pdf,ADCP,2023,success,,1,0,1,1,0,4255,1129,963,0.00172675,5.85,2026-03-14T17:57:42.873088
ADHI_2022.pdf,ADHI,2022,success,,1,0,1,1,0,4584,1129,934,0.00168325,5.35,2026-03-14T17:57:45.382958
ACST_2023.pdf,ACST,2023,success,,4,0,4,4,0,15799,4516,3223,0.0059635,21.35,2026-03-14T17:57:46.453226
ADMF_2022.pdf,ADMF,2022,success,,2,2,0,0,2,8611,0,0,0.0,0.03,2026-03-14T17:57:46.483283
ADMF_2023.pdf,ADMF,2023,success,,3,3,0,0,3,11931,0,0,0.0,0.06,2026-03-14T17:57:46.543906
ACST_2022.pdf,ACST,2022,success,,4,0,4,4,0,15376,4516,3144,0.005845,23.3,2026-03-14T17:57:47.827446
ADMG_2022.pdf,ADMG,2022,success,,1,1,0,0,1,5456,0,0,0.0,0.02,2026-03-14T17:57:47.848043
ADHI_2023.pdf,ADHI,2023,success,,1,0,1,1,0,4458,1129,902,0.00163525,8.28,2026-03-14T17:57:51.152953
ADMF_2024.pdf,ADMF,2024,success,,1,0,1,1,0,4558,1129,1047,0.00185275,5.64,2026-03-14T17:57:52.181363
ADMG_2023.pdf,ADMG,2023,success,,1,0,1,1,0,4279,1129,913,0.00165175,5.82,2026-03-14T17:57:53.671898
ADMR_2023.pdf,ADMR,2023,success,,2,2,0,0,2,8588,0,0,0.0,0.03,2026-03-14T17:57:53.703641
ADHI_2024.pdf,ADHI,2024,success,,2,0,2,2,0,8640,2258,1817,0.00329,13.68,2026-03-14T17:57:59.064894
ADMG_2024.pdf,ADMG,2024,success,,2,0,2,2,0,9819,2258,2157,0.0038,13.17,2026-03-14T17:58:04.322985
ADRO_2023.pdf,ADRO,2023,success,,4,4,0,0,4,16972,0,0,0.0,0.05,2026-03-14T17:58:04.377917
ADMR_2024.pdf,ADMR,2024,success,,2,0,2,2,0,9080,2258,2042,0.0036275,10.94,2026-03-14T17:58:04.642887
ADMR_2022.pdf,ADMR,2022,success,,2,0,2,2,0,8954,2258,2053,0.003644,12.95,2026-03-14T17:58:05.135109
AGII_2022.pdf,AGII,2022,success,,1,0,1,1,0,4918,1129,998,0.00177925,5.26,2026-03-14T17:58:10.582129
AGII_2023.pdf,AGII,2023,success,,3,3,0,0,3,9550,0,0,0.0,0.04,2026-03-14T17:58:10.623310
AGII_2024.pdf,AGII,2024,success,,3,3,0,0,3,8794,0,0,0.0,0.05,2026-03-14T17:58:10.673882
AGRO_2022.pdf,AGRO,2022,success,,2,2,0,0,2,7152,0,0,0.0,0.02,2026-03-14T17:58:10.698638
AGRO_2023.pdf,AGRO,2023,success,,2,2,0,0,2,7595,0,0,0.0,0.05,2026-03-14T17:58:10.746541
AGAR_2024.pdf,AGAR,2024,success,,2,0,2,2,0,9845,2258,2083,0.003689,12.43,2026-03-14T17:58:17.071956
ADRO_2022.pdf,ADRO,2022,success,,4,0,4,4,0,15779,4516,3379,0.0061975,20.84,2026-03-14T17:58:19.904974
AGRS_2022.pdf,AGRS,2022,success,,2,0,2,2,0,8479,2258,1774,0.0032255,10.42,2026-03-14T17:58:21.168132
