file_name,page_number,prompt_tokens,output_tokens,total_tokens
ABBA_2023.pdf,1,1129,1004,2133
AALI_2023.pdf,1,1129,1063,2192
AALI_2023.pdf,2,1129,851,1980
AALI_2022.pdf,1,1129,962,2091
AALI_2022.pdf,2,1129,783,1912
ABBA_2024.pdf,1,1129,1004,2133
ACES_2022.pdf,1,1129,862,1991
ACES_2023.pdf,1,1129,903,2032
AADI_2024.pdf,1,1129,990,2119
AADI_2024.pdf,2,1129,782,1911
AADI_2024.pdf,3,1129,832,1961
AADI_2024.pdf,4,1129,724,1853
ACES_2024.pdf,1,1129,926,2055
ABMM_2023.pdf,1,1129,644,1773
ABMM_2023.pdf,2,1129,861,1990
ACRO_2023.pdf,1,1129,952,2081
ACRO_2023.pdf,2,1129,854,1983
ACRO_2023.pdf,3,1129,877,2006
ACRO_2024.pdf,1,1129,1126,2255
ACRO_2024.pdf,2,1129,1071,2200
ADCP_2023.pdf,1,1129,963,2092
ADHI_2022.pdf,1,1129,934,2063
ACST_2023.pdf,1,1129,968,2097
ACST_2023.pdf,2,1129,748,1877
ACST_2023.pdf,3,1129,758,1887
ACST_2023.pdf,4,1129,749,1878
ACST_2022.pdf,1,1129,951,2080
ACST_2022.pdf,2,1129,716,1845
ACST_2022.pdf,3,1129,785,1914
ACST_2022.pdf,4,1129,692,1821
ADHI_2023.pdf,1,1129,902,2031
ADMF_2024.pdf,1,1129,1047,2176
ADMG_2023.pdf,1,1129,913,2042
ADHI_2024.pdf,1,1129,862,1991
ADHI_2024.pdf,2,1129,955,2084
ADMG_2024.pdf,1,1129,1242,2371
ADMG_2024.pdf,2,1129,915,2044
ADMR_2024.pdf,1,1129,1058,2187
ADMR_2024.pdf,2,1129,984,2113
ADMR_2022.pdf,1,1129,1058,2187
ADMR_2022.pdf,2,1129,995,2124
AGII_2022.pdf,1,1129,998,2127
AGAR_2024.pdf,1,1129,1182,2311
AGAR_2024.pdf,2,1129,901,2030
ADRO_2022.pdf,1,1129,1027,2156
ADRO_2022.pdf,2,1129,740,1869
ADRO_2022.pdf,3,1129,833,1962
ADRO_2022.pdf,4,1129,779,1908
AGRS_2022.pdf,1,1129,872,2001
AGRS_2022.pdf,2,1129,902,2031
ADRO_2024.pdf,1,1129,1117,2246
ADRO_2024.pdf,2,1129,920,2049
ADRO_2024.pdf,3,1129,832,1961
ADRO_2024.pdf,4,1129,986,2115
AGRS_2023.pdf,1,1129,896,2025
AGRS_2023.pdf,2,1129,1046,2175
AGRS_2024.pdf,1,1129,868,1997
AGRS_2024.pdf,2,1129,913,2042
AHAP_2022.pdf,1,1129,1229,2358
AHAP_2022.pdf,2,1129,1720,2849
AHAP_2022.pdf,3,1129,1522,2651
AHAP_2023.pdf,1,1129,1218,2347
AHAP_2023.pdf,2,1129,871,2000
AHAP_2023.pdf,3,1129,856,1985
AKKU_2023.pdf,1,1129,1183,2312
AIMS_2023.pdf,1,1129,945,2074
AIMS_2023.pdf,2,1129,1076,2205
AHAP_2024.pdf,1,1129,1223,2352
AHAP_2024.pdf,2,1129,979,2108
AKKU_2024.pdf,1,1129,1182,2311
AKKU_2022.pdf,1,1129,689,1818
AKKU_2022.pdf,2,1129,720,1849
AKPI_2022.pdf,1,1129,888,2017
AKPI_2022.pdf,2,1129,938,2067
AKSI_2022.pdf,1,1129,1028,2157
AKSI_2022.pdf,2,1129,857,1986
AKPI_2023.pdf,1,1129,578,1707
AKPI_2023.pdf,2,1129,669,1798
AKPI_2023.pdf,3,1129,832,1961
ALDO_2022.pdf,1,1129,1065,2194
ALII_2023.pdf,1,1129,828,1957
ALDO_2023.pdf,1,1129,1031,2160
ALDO_2023.pdf,2,1129,1003,2132
AKSI_2023.pdf,1,1129,701,1830
AKSI_2023.pdf,2,1129,808,1937
ALII_2024.pdf,1,1129,849,1978
ALMI_2022.pdf,1,1129,729,1858
ALKA_2022.pdf,1,1129,1258,2387
ALKA_2022.pdf,2,1129,1142,2271
ALKA_2023.pdf,1,1129,1302,2431
ALKA_2023.pdf,2,1129,1161,2290
ALMI_2023.pdf,1,1129,831,1960
ALMI_2023.pdf,2,1129,634,1763
ALKA_2024.pdf,1,1129,1261,2390
ALKA_2024.pdf,2,1129,1293,2422
AMAG_2022.pdf,1,1129,992,2121
ALTO_2022.pdf,1,1129,893,2022
ALTO_2022.pdf,2,1129,848,1977
ALMI_2024.pdf,1,1129,647,1776
ALMI_2024.pdf,2,1129,627,1756
ALMI_2024.pdf,3,1129,586,1715
AMAG_2023.pdf,1,1129,998,2127
ALTO_2023.pdf,1,1129,917,2046
ALTO_2023.pdf,2,1129,1031,2160
ALTO_2023.pdf,3,1129,865,1994
AMAG_2024.pdf,1,1129,951,2080
AMAN_2022.pdf,1,1129,961,2090
AMAN_2023.pdf,1,1129,938,2067
AMAN_2024.pdf,1,1129,968,2097
AMFG_2022.pdf,1,1129,952,2081
AMFG_2022.pdf,2,1129,833,1962
AMFG_2024.pdf,1,1129,932,2061
AMFG_2024.pdf,2,1129,961,2090
AMMN_2023.pdf,1,1129,994,2123
AMMN_2023.pdf,2,1129,997,2126
AMMS_2022.pdf,1,1129,1189,2318
AMMS_2022.pdf,2,1129,952,2081
AMMS_2023.pdf,1,1129,1267,2396
AMMS_2023.pdf,2,1129,917,2046
AMMS_2024.pdf,1,1129,1184,2313
AMMS_2024.pdf,2,1129,942,2071
ANDI_2023.pdf,1,1129,966,2095
ANDI_2023.pdf,2,1129,981,2110
ANDI_2022.pdf,1,1129,1066,2195
ANDI_2022.pdf,2,1129,934,2063
AMOR_2023.pdf,1,1129,952,2081
AMOR_2023.pdf,2,1129,914,2043
APEX_2023.pdf,1,1129,837,1966
ANTM_2022.pdf,1,1129,943,2072
ANTM_2022.pdf,2,1129,828,1957
ANTM_2022.pdf,3,1129,868,1997
ANTM_2022.pdf,4,1129,706,1835
ANTM_2024.pdf,1,1129,983,2112
ANTM_2024.pdf,2,1129,773,1902
APII_2022.pdf,1,1129,913,2042
APIC_2023.pdf,1,1129,786,1915
APIC_2023.pdf,2,1129,884,2013
APIC_2024.pdf,1,1129,774,1903
APIC_2024.pdf,2,1129,913,2042
APII_2023.pdf,1,1129,973,2102
APIC_2022.pdf,1,1129,917,2046
APIC_2022.pdf,2,1129,743,1872
APIC_2022.pdf,3,1129,834,1963
APLI_2022.pdf,1,1129,564,1693
APLI_2022.pdf,2,1129,666,1795
APLI_2022.pdf,3,1129,570,1699
APII_2024.pdf,1,1129,1007,2136
APII_2024.pdf,2,1129,1067,2196
APLI_2023.pdf,1,1129,651,1780
APLI_2023.pdf,2,1129,785,1914
APLI_2023.pdf,3,1129,723,1852
APLI_2024.pdf,1,1129,1102,2231
APLI_2024.pdf,2,1129,949,2078
ARGO_2022.pdf,1,1129,877,2006
AREA_2023.pdf,1,1129,993,2122
AREA_2023.pdf,2,1129,894,2023
ARGO_2023.pdf,1,1129,998,2127
ARII_2022.pdf,1,1129,1056,2185
ARGO_2024.pdf,1,1129,982,2111
AREA_2024.pdf,1,1129,1020,2149
AREA_2024.pdf,2,1129,835,1964
AREA_2024.pdf,3,1129,837,1966
ARKA_2023.pdf,1,1129,944,2073
ARII_2023.pdf,1,1129,1102,2231
ARII_2023.pdf,2,1129,899,2028
ARII_2024.pdf,1,1129,1101,2230
ARII_2024.pdf,2,1129,895,2024
ARKO_2023.pdf,1,1129,786,1915
ARKO_2023.pdf,2,1129,636,1765
ARNA_2022.pdf,1,1129,782,1911
ARNA_2022.pdf,2,1129,1016,2145
ARNA_2023.pdf,1,1129,798,1927
ARNA_2023.pdf,2,1129,741,1870
ARNA_2024.pdf,1,1129,807,1936
ARNA_2024.pdf,2,1129,827,1956
ARTO_2022.pdf,1,1129,2177,3306
ARTO_2022.pdf,2,1129,1468,2597
ARTO_2022.pdf,3,1129,1655,2784
ASBI_2023.pdf,1,1129,1007,2136
ASBI_2024.pdf,1,1129,1046,2175
ASDM_2022.pdf,1,1129,533,1662
ASDM_2022.pdf,2,1129,666,1795
ARTO_2024.pdf,1,1129,989,2118
ARTO_2024.pdf,2,1129,882,2011
ARTO_2024.pdf,3,1129,745,1874
ARTO_2023.pdf,1,1129,879,2008
ARTO_2023.pdf,2,1129,985,2114
ARTO_2023.pdf,3,1129,810,1939
ARTO_2023.pdf,4,1129,704,1833
ASGR_2022.pdf,1,1129,1062,2191
ASGR_2022.pdf,2,1129,841,1970
ASGR_2022.pdf,3,1129,743,1872
ASGR_2024.pdf,1,1129,1045,2174
ASGR_2024.pdf,2,1129,867,1996
ASGR_2023.pdf,1,1129,967,2096
ASGR_2023.pdf,2,1129,762,1891
ASGR_2023.pdf,3,1129,742,1871
ASGR_2023.pdf,4,1129,749,1878
ASII_2023.pdf,1,1129,959,2088
ASII_2023.pdf,2,1129,810,1939
ASII_2023.pdf,3,1129,863,1992
ASII_2023.pdf,4,1129,931,2060
ASII_2022.pdf,1,1129,1058,2187
ASII_2022.pdf,2,1129,754,1883
ASII_2022.pdf,3,1129,767,1896
ASII_2022.pdf,4,1129,865,1994
ASII_2022.pdf,5,1129,714,1843
ASJT_2022.pdf,1,1129,990,2119
ASJT_2022.pdf,2,1129,1008,2137
ASLI_2023.pdf,1,1129,706,1835
ASII_2024.pdf,1,1129,1056,2185
ASII_2024.pdf,2,1129,807,1936
ASII_2024.pdf,3,1129,876,2005
ASII_2024.pdf,4,1129,819,1948
ASLC_2022.pdf,1,1129,560,1689
ASLC_2022.pdf,2,1129,804,1933
ASMI_2022.pdf,1,1129,1319,2448
ASMI_2022.pdf,2,1129,760,1889
ASPI_2023.pdf,1,1129,754,1883
ASPI_2022.pdf,1,1129,815,1944
ASMI_2023.pdf,1,1129,1216,2345
ASMI_2023.pdf,2,1129,847,1976
ASRI_2022.pdf,1,1129,846,1975
ASRI_2024.pdf,1,1129,574,1703
ASRI_2024.pdf,2,1129,526,1655
ASRI_2023.pdf,1,1129,1154,2283
ASRI_2023.pdf,2,1129,808,1937
ASRM_2023.pdf,1,1129,992,2121
ASRM_2023.pdf,2,1129,1012,2141
ASSA_2022.pdf,1,1129,624,1753
ASSA_2022.pdf,2,1129,909,2038
ATLA_2023.pdf,1,1129,946,2075
ATLA_2023.pdf,2,1129,860,1989
ATLA_2024.pdf,1,1129,941,2070
ATLA_2024.pdf,2,1129,790,1919
AUTO_2022.pdf,1,1129,1076,2205
AUTO_2022.pdf,2,1129,793,1922
AUTO_2022.pdf,3,1129,771,1900
AUTO_2022.pdf,4,1129,747,1876
AVIA_2022.pdf,1,1129,1089,2218
AVIA_2022.pdf,2,1129,1092,2221
AWAN_2024.pdf,1,1129,747,1876
AWAN_2024.pdf,2,1129,581,1710
AUTO_2023.pdf,1,1129,1058,2187
AUTO_2023.pdf,2,1129,809,1938
AUTO_2023.pdf,3,1129,682,1811
AUTO_2023.pdf,4,1129,961,2090
AUTO_2023.pdf,5,1129,691,1820
AVIA_2023.pdf,1,1129,1061,2190
AVIA_2023.pdf,2,1129,844,1973
AVIA_2023.pdf,3,1129,699,1828
AVIA_2023.pdf,4,1129,760,1889
AYAM_2024.pdf,1,1129,980,2109
AXIO_2023.pdf,1,1129,1001,2130
AYAM_2023.pdf,1,1129,1001,2130
AYLS_2023.pdf,1,1129,821,1950
AXIO_2024.pdf,1,1129,747,1876
AXIO_2024.pdf,2,1129,715,1844
AYLS_2022.pdf,1,1129,808,1937
BABP_2024.pdf,1,1129,1196,2325
BABP_2024.pdf,2,1129,868,1997
BABP_2022.pdf,1,1129,1278,2407
BABP_2022.pdf,2,1129,963,2092
AYLS_2024.pdf,1,1139,945,2084
AYLS_2024.pdf,2,1139,641,1780
BABY_2023.pdf,1,1129,776,1905
BABY_2023.pdf,2,1129,929,2058
BABY_2023.pdf,3,1129,750,1879
BACA_2022.pdf,1,1129,930,2059
BACA_2022.pdf,2,1129,793,1922
BABY_2024.pdf,1,1129,922,2051
BABY_2024.pdf,2,1129,1072,2201
BACA_2023.pdf,1,1129,925,2054
BACA_2023.pdf,2,1129,968,2097
BACA_2024.pdf,1,1129,977,2106
BACA_2024.pdf,2,1129,981,2110
BALI_2023.pdf,1,1129,1034,2163
BAJA_2023.pdf,1,1129,829,1958
BAJA_2023.pdf,2,1129,928,2057
BAIK_2023.pdf,1,1129,990,2119
BAIK_2023.pdf,2,1129,890,2019
BAJA_2022.pdf,1,1129,1019,2148
BAJA_2022.pdf,2,1129,1057,2186
BAPI_2023.pdf,1,1129,755,1884
BAUT_2022.pdf,1,1129,875,2004
BATA_2022.pdf,1,1129,585,1714
BATA_2022.pdf,2,1129,620,1749
BAYU_2022.pdf,1,1129,718,1847
BAUT_2023.pdf,1,1129,854,1983
BAPI_2024.pdf,1,1129,875,2004
BAPI_2024.pdf,2,1129,1246,2375
BAYU_2024.pdf,1,1129,783,1912
BAYU_2023.pdf,1,1129,891,2020
BBCA_2024.pdf,1,1129,720,1849
BBCA_2024.pdf,2,1129,607,1736
BBHI_2023.pdf,1,1129,946,2075
BBHI_2022.pdf,1,1129,814,1943
BBHI_2022.pdf,2,1129,866,1995
BBHI_2024.pdf,1,1129,871,2000
BBHI_2024.pdf,2,1129,831,1960
BBLD_2022.pdf,1,1129,928,2057
BBLD_2022.pdf,2,1129,934,2063
BBKP_2022.pdf,1,1129,884,2013
BBKP_2022.pdf,2,1129,886,2015
BBKP_2022.pdf,3,1129,867,1996
BBKP_2023.pdf,1,1129,820,1949
BBKP_2023.pdf,2,1129,896,2025
BBKP_2023.pdf,3,1129,765,1894
BBKP_2024.pdf,1,1129,1082,2211
BBKP_2024.pdf,2,1129,954,2083
BBKP_2024.pdf,3,1129,1044,2173
BBLD_2023.pdf,1,1129,895,2024
BBLD_2023.pdf,2,1129,797,1926
BBMD_2022.pdf,1,1129,911,2040
BBMD_2022.pdf,2,1129,757,1886
BBLD_2024.pdf,1,1129,612,1741
BBLD_2024.pdf,2,1129,829,1958
BBLD_2024.pdf,3,1129,722,1851
BBNI_2024.pdf,1,1129,974,2103
BBNI_2024.pdf,2,1129,765,1894
BBNI_2024.pdf,3,1129,812,1941
BBNI_2024.pdf,4,1129,806,1935
BBNI_2024.pdf,5,1129,833,1962
BBSI_2022.pdf,1,1129,720,1849
BBSI_2022.pdf,2,1129,633,1762
BBRM_2023.pdf,1,1129,831,1960
BBRM_2023.pdf,2,1129,846,1975
BBRM_2022.pdf,1,1129,698,1827
BBRM_2022.pdf,2,1129,804,1933
BBRM_2022.pdf,3,1129,438,1567
BBRM_2024.pdf,1,1129,821,1950
BBRM_2024.pdf,2,1129,749,1878
BBSI_2023.pdf,1,1129,725,1854
BBSI_2023.pdf,2,1129,627,1756
BBYB_2022.pdf,1,1129,941,2070
BBTN_2022.pdf,1,1129,962,2091
BBTN_2022.pdf,2,1129,887,2016
BBTN_2023.pdf,1,1129,985,2114
BBTN_2023.pdf,2,1129,945,2074
BBYB_2023.pdf,1,1129,851,1980
BBYB_2023.pdf,2,1129,705,1834
BCIP_2022.pdf,1,1129,731,1860
BCIP_2023.pdf,1,1129,732,1861
BEBS_2022.pdf,1,1129,1025,2154
BDMN_2023.pdf,1,1129,1039,2168
BDMN_2023.pdf,2,1129,767,1896
BDMN_2024.pdf,1,1129,1053,2182
BDMN_2024.pdf,2,1129,776,1905
BDMN_2024.pdf,3,1129,606,1735
BDMN_2024.pdf,4,1129,647,1776
BEEF_2022.pdf,1,1129,884,2013
BEEF_2022.pdf,2,1129,878,2007
BEEF_2023.pdf,1,1129,945,2074
BEEF_2023.pdf,2,1129,1003,2132
BEKS_2023.pdf,1,1129,926,2055
BDKR_2023.pdf,1,1129,1157,2286
BDKR_2023.pdf,2,1129,1090,2219
BDKR_2023.pdf,3,1129,963,2092
BDKR_2023.pdf,4,1117,1062,2179
BDKR_2023.pdf,5,1117,836,1953
BEKS_2024.pdf,1,1129,931,2060
BEKS_2022.pdf,1,1129,920,2049
BEKS_2022.pdf,2,1129,884,2013
BELL_2023.pdf,1,1129,751,1880
BELL_2022.pdf,1,1129,756,1885
BELL_2024.pdf,1,1129,755,1884
BELI_2022.pdf,1,1129,640,1769
BELI_2022.pdf,2,1129,814,1943
BELI_2022.pdf,3,1129,711,1840
BESS_2023.pdf,1,1129,695,1824
BESS_2023.pdf,2,1129,731,1860
BELI_2023.pdf,1,1129,655,1784
BELI_2023.pdf,2,1129,905,2034
BELI_2023.pdf,3,1129,777,1906
BEST_2022.pdf,1,1129,1484,2613
BEST_2023.pdf,1,1129,1414,2543
BEST_2024.pdf,1,1117,1114,2231
BFIN_2023.pdf,1,1129,955,2084
BFIN_2022.pdf,1,1117,1021,2138
BFIN_2024.pdf,1,1129,1166,2295
BGTG_2022.pdf,1,1129,624,1753
BGTG_2022.pdf,2,1129,918,2047
BHAT_2024.pdf,1,1129,783,1912
